"#","Latin Input","Devanagari Target","Devanagari Predicted","Correct"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","कैस्पोल","❌"
"28","akapulko","अकापुल्को","कापूकलो","❌"
"29","akhand","अखंड","अखंड","✅"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","आगवाई","❌"
"32","agvaai","अगवाई","आगवाई","❌"
"33","augustine","अगस्टाइन","औउज्टियों","❌"
"34","augustustine","अगस्टाइन","आउजस्तिस्टन","❌"
"35","agsta","अगस्ता","अग्सता","❌"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","औजूत्ता","❌"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्रा","❌"
"40","achambha","अचंभा","अचंभा","✅"
"41","achanbha","अचंभा","अचनभा","❌"
"42","achievement","अचीवमेंट","अशिवेमेटम","❌"
"43","achivement","अचीवमेंट","अचिवेमेंट","❌"
"44","acchi","अच्छी","अचीच","❌"
"45","achchi","अच्छी","अच्ची","❌"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अचुयुत","❌"
"48","achhanera","अछनेरा","अचनारा","❌"
"49","achnera","अछनेरा","अचनारा","❌"
"50","ajmeedh","अजमीढ़","आजमेध","❌"
"51","ajhar","अजहर","आजर","❌"
"52","azhar","अजहर","आजर","❌"
"53","ajit","अजित","अजित","✅"
"54","agnat","अज्ञात","अगनतत","❌"
"55","agyaat","अज्ञात","अग्यात","❌"
"56","agyat","अज्ञात","अग्यत","❌"
"57","atakta","अटकता","अतकता","❌"
"58","atkata","अटकता","आत्ताा","❌"
"59","atake","अटके","आतके","❌"
"60","atke","अटके","आकटे","❌"
"61","atwaal","अटवाल","आत्वाल","❌"
"62","atwal","अटवाल","आत्वल","❌"
"63","attahasa","अट्टहास","तत्थासा","❌"
"64","atthaas","अट्टहास","अत्थास","❌"
"65","atthas","अट्टहास","अत्थास","❌"
"66","addon","अड्डों","अद्दों","❌"
"67","athak","अथक","अथकक","❌"
"68","atharv","अथर्व","अथरव","❌"
"69","atharva","अथर्व","अथरवा","❌"
"70","adad","अदद","अदद","✅"
"71","adaani","अदाणी","आदानी","❌"
"72","adani","अदाणी","अदनी","❌"
"73","advait","अद्वैत","आद्वितक","❌"
"74","adwait","अद्वैत","आद्वितक","❌"
"75","advaitvaad","अद्वैतवाद","आद्ववाति","❌"
"76","advaitwad","अद्वैतवाद","आद्ववाति","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","आद्विसा","❌"
"80","adhiik","अधीक","अधिकिक","❌"
"1","ank","अंक","अंक","✅"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंगकोर","❌"
"8","ankor","अंकोर","अंकर","❌"
"9","angaarak","अंगारक","अंगराक","❌"
"10","angarak","अंगारक","अंगरकक","❌"
"11","angraji","अंग्रज़ी","अंग्रजजी","❌"
"12","angreji","अंग्रज़ी","अंग्रेजी","❌"
"13","angrzi","अंग्रज़ी","अंग्रजी","❌"
"14","antah","अंतः","अंता","❌"
"15","antaha","अंतः","अंताह","❌"
"16","antarmukh","अंतर्मुख","अंतर्मुख","✅"
"17","antmurkh","अंतर्मुख","अंत्रूख","❌"
"18","antrmukh","अंतर्मुख","अंत्रामुख","❌"
"19","andrabee","अंद्राबी","अंडरबे","❌"
"20","andrabi","अंद्राबी","अंडरबाईी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधपन","❌"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अब्बनी","❌"
"25","ambani","अंबानी","अब्नाई","❌"
"26","akram","अकरम","अक्रमम","❌"
"27","acapulco","अकापुल्को","अपूक्लो","❌"
"28","akapulko","अकापुल्को","अपकुकुलव","❌"
"29","akhand","अखंड","अखंद","❌"
"30","akhil","अखिल","कहिल","❌"
"31","agavai","अगवाई","अगावा","❌"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","आदुस्तिनी","❌"
"34","augustustine","अगस्टाइन","उूगस्तुसिनी","❌"
"35","agsta","अगस्ता","अजस्ता","❌"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","आूजसता","❌"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्रा","❌"
"40","achambha","अचंभा","अच्मभा","❌"
"41","achanbha","अचंभा","अचंभा","✅"
"42","achievement","अचीवमेंट","अचीविमेंट","❌"
"43","achivement","अचीवमेंट","अचीविंग","❌"
"44","acchi","अच्छी","अच्ची","❌"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अच्युत","✅"
"48","achhanera","अछनेरा","अच्नारे","❌"
"49","achnera","अछनेरा","अचनेरा","❌"
"50","ajmeedh","अजमीढ़","अम्मिध","❌"
"51","ajhar","अजहर","अझर","❌"
"52","azhar","अजहर","अझार","❌"
"53","ajit","अजित","अजीत","❌"
"54","agnat","अज्ञात","अगनत","❌"
"55","agyaat","अज्ञात","अग्यात","❌"
"56","agyat","अज्ञात","अग्यत","❌"
"57","atakta","अटकता","अततका","❌"
"58","atkata","अटकता","अतकता","❌"
"59","atake","अटके","अताके","❌"
"60","atke","अटके","एटके","❌"
"61","atwaal","अटवाल","अतवाल","❌"
"62","atwal","अटवाल","अत्वल","❌"
"63","attahasa","अट्टहास","अत्थासा","❌"
"64","atthaas","अट्टहास","अत्ासा","❌"
"65","atthas","अट्टहास","अत््स","❌"
"66","addon","अड्डों","अदोड़न","❌"
"67","athak","अथक","अठक","❌"
"68","atharv","अथर्व","अथरव","❌"
"69","atharva","अथर्व","अथरवा","❌"
"70","adad","अदद","अदद","✅"
"71","adaani","अदाणी","आदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","अदवात","❌"
"74","adwait","अद्वैत","अदवात","❌"
"75","advaitvaad","अद्वैतवाद","अद्ववदावा","❌"
"76","advaitwad","अद्वैतवाद","अद्ववद्व","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अद्विवास","❌"
"80","adhiik","अधीक","अधिकक","❌"
"1","ank","अंक","आंक","❌"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंगकोर","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगारक","✅"
"11","angraji","अंग्रज़ी","अंगराजी","❌"
"12","angreji","अंग्रज़ी","अंगररजी","❌"
"13","angrzi","अंग्रज़ी","अंगर्जी","❌"
"14","antah","अंतः","अंता","❌"
"15","antaha","अंतः","अंत्था","❌"
"16","antarmukh","अंतर्मुख","अंतरमुच","❌"
"17","antmurkh","अंतर्मुख","अंत्मरुच","❌"
"18","antrmukh","अंतर्मुख","अंत्रमुच","❌"
"19","andrabee","अंद्राबी","अंदराफे","❌"
"20","andrabi","अंद्राबी","अंद्राबी","✅"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधपान","❌"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अंबानी","✅"
"25","ambani","अंबानी","अंबानी","✅"
"26","akram","अकरम","अकरमम","❌"
"27","acapulco","अकापुल्को","एकाप्लोक","❌"
"28","akapulko","अकापुल्को","आकापुलक","❌"
"29","akhand","अखंड","अखंद","❌"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","आगुस्तेन","❌"
"34","augustustine","अगस्टाइन","आगुस्त्तेशियों","❌"
"35","agsta","अगस्ता","अग्स्ता","❌"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","आगुस्ता","❌"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्रा","❌"
"40","achambha","अचंभा","अमाभाा","❌"
"41","achanbha","अचंभा","अचंभा","✅"
"42","achievement","अचीवमेंट","अजियेशिवें","❌"
"43","achivement","अचीवमेंट","अजिवेशने","❌"
"44","acchi","अच्छी","अच्ची","❌"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अच्छी","✅"
"47","achyut","अच्युत","अच्यूत","❌"
"48","achhanera","अछनेरा","अच्छनारा","❌"
"49","achnera","अछनेरा","अचनराा","❌"
"50","ajmeedh","अजमीढ़","अजमीद","❌"
"51","ajhar","अजहर","अजर","❌"
"52","azhar","अजहर","अजहर","✅"
"53","ajit","अजित","अजीत","❌"
"54","agnat","अज्ञात","अग्नत","❌"
"55","agyaat","अज्ञात","अग्यत","❌"
"56","agyat","अज्ञात","अग्यत","❌"
"57","atakta","अटकता","अतकता","❌"
"58","atkata","अटकता","अतकाता","❌"
"59","atake","अटके","अतके","❌"
"60","atke","अटके","एटकी","❌"
"61","atwaal","अटवाल","अतवाल","❌"
"62","atwal","अटवाल","अटवल","❌"
"63","attahasa","अट्टहास","अत्थासा","❌"
"64","atthaas","अट्टहास","अथ्ास","❌"
"65","atthas","अट्टहास","अत्थास","❌"
"66","addon","अड्डों","आड़ों","❌"
"67","athak","अथक","अठक","❌"
"68","atharv","अथर्व","अथार्व","❌"
"69","atharva","अथर्व","अथारवा","❌"
"70","adad","अदद","आदद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदनी","❌"
"73","advait","अद्वैत","अदववी","❌"
"74","adwait","अद्वैत","अदववीत","❌"
"75","advaitvaad","अद्वैतवाद","अवरतिवाद","❌"
"76","advaitwad","अद्वैतवाद","अदवविदता","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अडविवास","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","आंक","❌"
"2","anka","अंक","अनका","❌"
"3","ankit","अंकित","अंकीत","❌"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अनकों","❌"
"7","angkor","अंकोर","अंगोकर","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगराक","❌"
"11","angraji","अंग्रज़ी","अंगर्जी","❌"
"12","angreji","अंग्रज़ी","अंगर्जी","❌"
"13","angrzi","अंग्रज़ी","अंगर्जी","❌"
"14","antah","अंतः","अंता","❌"
"15","antaha","अंतः","अंताा","❌"
"16","antarmukh","अंतर्मुख","अंतरूख","❌"
"17","antmurkh","अंतर्मुख","अंतुर्म","❌"
"18","antrmukh","अंतर्मुख","अंतरूख","❌"
"19","andrabee","अंद्राबी","अंद्रबे","❌"
"20","andrabi","अंद्राबी","अंद्रबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अध्पन","❌"
"23","andheri","अंधेरी","अंधेरी","✅"
"24","ambaani","अंबानी","अमबानी","❌"
"25","ambani","अंबानी","अमबानी","❌"
"26","akram","अकरम","अक्रमम","❌"
"27","acapulco","अकापुल्को","अकैपिकोल","❌"
"28","akapulko","अकापुल्को","अकापकोलम","❌"
"29","akhand","अखंड","अखंंड","❌"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","ऑगस्टिन","❌"
"34","augustustine","अगस्टाइन","ऑगस्टोस्तियों","❌"
"35","agsta","अगस्ता","अग्तसा","❌"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","औगस्ता","❌"
"38","agr","अग्र","आग्रर","❌"
"39","agra","अग्र","अग्रर","❌"
"40","achambha","अचंभा","अचंभा","✅"
"41","achanbha","अचंभा","अचनभा","❌"
"42","achievement","अचीवमेंट","अचिलेंगें","❌"
"43","achivement","अचीवमेंट","अचिमेंंट","❌"
"44","acchi","अच्छी","आच्छीर","❌"
"45","achchi","अच्छी","अच्छीर","❌"
"46","achhi","अच्छी","अछीर","❌"
"47","achyut","अच्युत","अच्यूत","❌"
"48","achhanera","अछनेरा","अच्नेरार","❌"
"49","achnera","अछनेरा","अच्नेा","❌"
"50","ajmeedh","अजमीढ़","अजमीध","❌"
"51","ajhar","अजहर","अजार","❌"
"52","azhar","अजहर","अजाहर","❌"
"53","ajit","अजित","अजित","✅"
"54","agnat","अज्ञात","अग्नत","❌"
"55","agyaat","अज्ञात","अग्यात","❌"
"56","agyat","अज्ञात","अग्यत","❌"
"57","atakta","अटकता","अतकता","❌"
"58","atkata","अटकता","अतकता","❌"
"59","atake","अटके","आतके","❌"
"60","atke","अटके","आटके","❌"
"61","atwaal","अटवाल","अत्वाल","❌"
"62","atwal","अटवाल","अत्वल","❌"
"63","attahasa","अट्टहास","अत्ताशा","❌"
"64","atthaas","अट्टहास","आत्थास","❌"
"65","atthas","अट्टहास","अत्थास","❌"
"66","addon","अड्डों","अद्ों","❌"
"67","athak","अथक","आथकर","❌"
"68","atharv","अथर्व","अथर्व","✅"
"69","atharva","अथर्व","अथर्व","✅"
"70","adad","अदद","आदाद","❌"
"71","adaani","अदाणी","आदानी","❌"
"72","adani","अदाणी","आदानी","❌"
"73","advait","अद्वैत","अदवातत","❌"
"74","adwait","अद्वैत","आदवाइट","❌"
"75","advaitvaad","अद्वैतवाद","अद्वविद्व","❌"
"76","advaitwad","अद्वैतवाद","अद्ववताव","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अद्विवास","❌"
"80","adhiik","अधीक","आधिक","❌"
"1","ank","अंक","एंकी","❌"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनाकों","❌"
"5","ankhon","अंकों","अंकों","✅"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंगककर","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगरक","❌"
"10","angarak","अंगारक","अंगरक","❌"
"11","angraji","अंग्रज़ी","अंग्रजी","❌"
"12","angreji","अंग्रज़ी","अंगर्जी","❌"
"13","angrzi","अंग्रज़ी","अंग्रजी","❌"
"14","antah","अंतः","अंता","❌"
"15","antaha","अंतः","अंता","❌"
"16","antarmukh","अंतर्मुख","अंतर्मूक","❌"
"17","antmurkh","अंतर्मुख","अंत्मुर्थ","❌"
"18","antrmukh","अंतर्मुख","अंत्रमूख","❌"
"19","andrabee","अंद्राबी","अंड्रबी","❌"
"20","andrabi","अंद्राबी","अंदरबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधपन","❌"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अमबानी","❌"
"25","ambani","अंबानी","अमबनी","❌"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","आकापलोप","❌"
"28","akapulko","अकापुल्को","अकापूकों","❌"
"29","akhand","अखंड","अखांड","❌"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाय","❌"
"32","agvaai","अगवाई","अगवाय","❌"
"33","augustine","अगस्टाइन","ऑगस्टनियों","❌"
"34","augustustine","अगस्टाइन","ऑग्टसूसियों","❌"
"35","agsta","अगस्ता","अग्सता","❌"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","आगुस्ता","❌"
"38","agr","अग्र","एग्र","❌"
"39","agra","अग्र","अग्रा","❌"
"40","achambha","अचंभा","अचाभा","❌"
"41","achanbha","अचंभा","अचंभा","✅"
"42","achievement","अचीवमेंट","अचिवियांट","❌"
"43","achivement","अचीवमेंट","अचिवेंट्म","❌"
"44","acchi","अच्छी","अची","❌"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अचुत्यु","❌"
"48","achhanera","अछनेरा","अचिनेरा","❌"
"49","achnera","अछनेरा","अचनेरा","❌"
"50","ajmeedh","अजमीढ़","अज्मीध","❌"
"51","ajhar","अजहर","अधार","❌"
"52","azhar","अजहर","अधार","❌"
"53","ajit","अजित","अजित","✅"
"54","agnat","अज्ञात","अग्नत","❌"
"55","agyaat","अज्ञात","अग्यत","❌"
"56","agyat","अज्ञात","अग्यत","❌"
"57","atakta","अटकता","अतक्ता","❌"
"58","atkata","अटकता","अतकता","❌"
"59","atake","अटके","अतके","❌"
"60","atke","अटके","अतके","❌"
"61","atwaal","अटवाल","अतवाल","❌"
"62","atwal","अटवाल","अतवाल","❌"
"63","attahasa","अट्टहास","अत्ताशा","❌"
"64","atthaas","अट्टहास","अत्ासा","❌"
"65","atthas","अट्टहास","अत्ास","❌"
"66","addon","अड्डों","अद्ों","❌"
"67","athak","अथक","अठक","❌"
"68","atharv","अथर्व","अठरव","❌"
"69","atharva","अथर्व","अठरवा","❌"
"70","adad","अदद","अदाद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","अदवाति","❌"
"74","adwait","अद्वैत","अदवाति","❌"
"75","advaitvaad","अद्वैतवाद","अद्ववत्व","❌"
"76","advaitwad","अद्वैतवाद","अदववत्व","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अदविवास","❌"
"80","adhiik","अधीक","अधिकिक","❌"
"1","ank","अंक","अंक","✅"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंगकर","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगरक","❌"
"10","angarak","अंगारक","अंगरक","❌"
"11","angraji","अंग्रज़ी","अंगराजी","❌"
"12","angreji","अंग्रज़ी","अंग्रेजी","❌"
"13","angrzi","अंग्रज़ी","अंग्रीी","❌"
"14","antah","अंतः","अंता","❌"
"15","antaha","अंतः","अंताहा","❌"
"16","antarmukh","अंतर्मुख","अंतर्मुख","✅"
"17","antmurkh","अंतर्मुख","अंत्रुख","❌"
"18","antrmukh","अंतर्मुख","अंत्रुख","❌"
"19","andrabee","अंद्राबी","अंदरबी","❌"
"20","andrabi","अंद्राबी","अंदरबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधनपन","❌"
"23","andheri","अंधेरी","अंदरही","❌"
"24","ambaani","अंबानी","अंबानी","✅"
"25","ambani","अंबानी","अमबनी","❌"
"26","akram","अकरम","अक्रमम","❌"
"27","acapulco","अकापुल्को","अकास्पूल","❌"
"28","akapulko","अकापुल्को","अकापुकोलो","❌"
"29","akhand","अखंड","अखंद","❌"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","आजुस्तेन","❌"
"34","augustustine","अगस्टाइन","आजुस्तसस्तियों","❌"
"35","agsta","अगस्ता","अग्सता","❌"
"36","agusta","अगस्ता","अजुस्ता","❌"
"37","augusta","अगस्ता","आजुस्ता","❌"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्रा","❌"
"40","achambha","अचंभा","अगभाभा","❌"
"41","achanbha","अचंभा","अचंभा","✅"
"42","achievement","अचीवमेंट","अचिवेंते","❌"
"43","achivement","अचीवमेंट","अछिमेंतत","❌"
"44","acchi","अच्छी","आच्ची","❌"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","छछी","❌"
"47","achyut","अच्युत","अच्युतत","❌"
"48","achhanera","अछनेरा","अचानरा","❌"
"49","achnera","अछनेरा","अच्नेरा","❌"
"50","ajmeedh","अजमीढ़","अजीमदध","❌"
"51","ajhar","अजहर","अझर","❌"
"52","azhar","अजहर","अजार","❌"
"53","ajit","अजित","अजित","✅"
"54","agnat","अज्ञात","अगनत","❌"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञत","❌"
"57","atakta","अटकता","अतकता","❌"
"58","atkata","अटकता","अतकता","❌"
"59","atake","अटके","अतके","❌"
"60","atke","अटके","अटके","✅"
"61","atwaal","अटवाल","अत्वल","❌"
"62","atwal","अटवाल","अत्वल","❌"
"63","attahasa","अट्टहास","अत्ताशा","❌"
"64","atthaas","अट्टहास","अत्ाास","❌"
"65","atthas","अट्टहास","अत्ा","❌"
"66","addon","अड्डों","दददों","❌"
"67","athak","अथक","आठक","❌"
"68","atharv","अथर्व","अठरव","❌"
"69","atharva","अथर्व","अठ्रवा","❌"
"70","adad","अदद","अदद","✅"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","अदवात","❌"
"74","adwait","अद्वैत","एडवात","❌"
"75","advaitvaad","अद्वैतवाद","अद्ववादा","❌"
"76","advaitwad","अद्वैतवाद","अद्ववाद","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अद्विवास","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","आंकी","❌"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","एंकों","❌"
"7","angkor","अंकोर","अंगोरक","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगराक","❌"
"10","angarak","अंगारक","अंगरक","❌"
"11","angraji","अंग्रज़ी","अंगराजी","❌"
"12","angreji","अंग्रज़ी","एंग्रेजी","❌"
"13","angrzi","अंग्रज़ी","अंग्रजी","❌"
"14","antah","अंतः","अंता","❌"
"15","antaha","अंतः","अंताहा","❌"
"16","antarmukh","अंतर्मुख","अंतरूच्म","❌"
"17","antmurkh","अंतर्मुख","अंतरूल्थ","❌"
"18","antrmukh","अंतर्मुख","अंतरूच्म","❌"
"19","andrabee","अंद्राबी","अंद्राबी","✅"
"20","andrabi","अंद्राबी","अंद्रबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अमनानी","❌"
"25","ambani","अंबानी","अंबनी","❌"
"26","akram","अकरम","अक्रमम","❌"
"27","acapulco","अकापुल्को","एकासपप्लोस","❌"
"28","akapulko","अकापुल्को","अकालपूक","❌"
"29","akhand","अखंड","अखांड","❌"
"30","akhil","अखिल","अखील","❌"
"31","agavai","अगवाई","अगववाई","❌"
"32","agvaai","अगवाई","आगवाई","❌"
"33","augustine","अगस्टाइन","ऑज्सिन","❌"
"34","augustustine","अगस्टाइन","उबस्टसस्टन","❌"
"35","agsta","अगस्ता","अज्सता","❌"
"36","agusta","अगस्ता","अगुसता","❌"
"37","augusta","अगस्ता","उओस्ता","❌"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्रा","❌"
"40","achambha","अचंभा","अचभभा","❌"
"41","achanbha","अचंभा","अचबंभा","❌"
"42","achievement","अचीवमेंट","अशियममेंट","❌"
"43","achivement","अचीवमेंट","अशिवेमेंट","❌"
"44","acchi","अच्छी","अच्ची","❌"
"45","achchi","अच्छी","अच्ची","❌"
"46","achhi","अच्छी","अच्ची","❌"
"47","achyut","अच्युत","अच्युत","✅"
"48","achhanera","अछनेरा","अच्चनराा","❌"
"49","achnera","अछनेरा","अचनेराा","❌"
"50","ajmeedh","अजमीढ़","अजमीध","❌"
"51","ajhar","अजहर","अजहर","✅"
"52","azhar","अजहर","अज़र","❌"
"53","ajit","अजित","आजित","❌"
"54","agnat","अज्ञात","अग्नत","❌"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञात","✅"
"57","atakta","अटकता","आतकता","❌"
"58","atkata","अटकता","अतकता","❌"
"59","atake","अटके","आतके","❌"
"60","atke","अटके","आटके","❌"
"61","atwaal","अटवाल","अतवललल","❌"
"62","atwal","अटवाल","अतवलल","❌"
"63","attahasa","अट्टहास","आत्थासा","❌"
"64","atthaas","अट्टहास","आत्थास","❌"
"65","atthas","अट्टहास","आत्थस","❌"
"66","addon","अड्डों","एडडों","❌"
"67","athak","अथक","आठक","❌"
"68","atharv","अथर्व","अथर्व","✅"
"69","atharva","अथर्व","अथरवा","❌"
"70","adad","अदद","आदाद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदनी","❌"
"73","advait","अद्वैत","आद्वात","❌"
"74","adwait","अद्वैत","अद्वत","❌"
"75","advaitvaad","अद्वैतवाद","आद्ववतदाद","❌"
"76","advaitwad","अद्वैतवाद","एद्ववतदद","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","आद्विवास","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","अंक","✅"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","एंकों","❌"
"7","angkor","अंकोर","अंगकोर","❌"
"8","ankor","अंकोर","एंकोर","❌"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगराक","❌"
"11","angraji","अंग्रज़ी","अंगराजीी","❌"
"12","angreji","अंग्रज़ी","अंगरीजीी","❌"
"13","angrzi","अंग्रज़ी","अंगरजीी","❌"
"14","antah","अंतः","अंतः","✅"
"15","antaha","अंतः","अंतःा","❌"
"16","antarmukh","अंतर्मुख","अंतरमूख्","❌"
"17","antmurkh","अंतर्मुख","अंतमूर्ध","❌"
"18","antrmukh","अंतर्मुख","अंतरमुख","❌"
"19","andrabee","अंद्राबी","अंद्बाई","❌"
"20","andrabi","अंद्राबी","अंदरबीी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधपन","❌"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अंबानी","✅"
"25","ambani","अंबानी","अंबानी","✅"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","आकलूपक","❌"
"28","akapulko","अकापुल्को","आकालुकको","❌"
"29","akhand","अखंड","अखांड","❌"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","अजस्टीन","❌"
"34","augustustine","अगस्टाइन","अगस्त्शिसीन","❌"
"35","agsta","अगस्ता","अज्सता","❌"
"36","agusta","अगस्ता","अजुस्ता","❌"
"37","augusta","अगस्ता","अकस्ता","❌"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्र","✅"
"40","achambha","अचंभा","अचंभा","✅"
"41","achanbha","अचंभा","अचंभाा","❌"
"42","achievement","अचीवमेंट","अचिवेनेमत","❌"
"43","achivement","अचीवमेंट","अचिवेमेंत","❌"
"44","acchi","अच्छी","अची","❌"
"45","achchi","अच्छी","अच्ची","❌"
"46","achhi","अच्छी","अछीध","❌"
"47","achyut","अच्युत","अच्युत","✅"
